Mineral,Density,Hardness,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U,Np,Pu,Am,Cm,Bk,Cf,Es,Fm,Md,No,Lr,Rf,Db,Sg,Bh,Hs,Mt,Ds,Rg,Cn,Nh,Fl,Mc,Lv,Ts,Og
Pirquitasite,4.822,4.0,,,,,,,,,,,,,,,,24.29,,,,,,,,,,,,,,12.38,,,,,,,,,,,,,,,,,40.85,,,22.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pirssonite,2.35,3.0,1.67,,,,,9.92,,52.87,,,18.99,,,,,,,,,16.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pitiglianoite,2.37,5.0,0.38,,,,,,,45.17,,,12.98,,15.23,15.86,,3.02,,,7.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pitticite,2.5,2.5,0.55,,,,,,,39.48,,,,,,,,8.79,,,,,,,,,,30.63,,,,,,,20.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pittongite,,2.5,0.53,,,,,,,24.74,,,2.27,,0.24,,,,,,0.05,0.36,,,,,,4.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piypite,3.1,2.5,,,,,,,,34.83,,,,,,,,15.51,,,18.91,,,,,,,,,,30.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pizgrischite,,3.5,,,,,,,,,,,,,,,,19.22,,,,,,,,,,0.76,,,16.55,,,,,0.04,,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.12,60.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plagioclase,2.69,7.0,,,,,,,,,,,3.38,,15.88,24.8,,,,,,8.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plagionite,5.5,2.5,,,,,,,,,,,,,,,,21.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plancheite,3.7,5.5,0.52,,,,,,,36.89,,,,,,19.19,,,,,,,,,,,,,,,43.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planerite,2.68,5.0,2.41,,,,,,,59.58,,,,,21.53,,16.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platarsite,8.0,7.5,,,,,,,,,,,,,,,,12.1,,,,,,,,,,,,,,,,,28.27,,,,,,,,,,,3.81,11.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platinum,18.0,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plattnerite,9.06,5.5,,,,,,,,13.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platynite,7.98,2.5,,,,,,,,,,,,,,,,3.59,,,,,,,,,,,,,,,,,,26.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.17,46.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Playfairite,5.8,3.75,,,,,,,,,,,,,,,,20.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plimerite,,,0.77,,,,,,,41.29,,,,,,,14.11,,,,,,,,,,,33.91,,,,9.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plombierite,2.018,,1.84,,,,,,,50.06,,,,,,21.97,,,,,,26.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plumalsite,4.35,5.5,,,,,,,,23.74,,,,,3.81,13.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plumboagardite,,3.0,1.16,,,,,,,31.1,,,,,,0.69,0.14,,,,,1.02,,,,,,1.07,,,32.37,,,,19.39,,,,,,0.73,,,,,,,,,,,,,,,,,,1.65,0.77,0.13,1.05,,0.14,,0.14,,0.15,,,,,,,,,,,,,,,,8.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plumbobetafite,4.64,5.0,0.14,,,,,,,24.79,1.78,,0.54,,,,,,,,,1.88,,14.61,,,,,,,,,,,,,,,,,,,8.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.63,,,,,,,,24.33,,,,,,,,,,11.18,,,,,,,,,,,,,,,,,,,,,,,,,,
Plumboferrite,6.0,5.0,,,,,,,,22.4,,,,0.18,,,,,,,,,,,,,0.84,45.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plumbogummite,4.5,4.5,1.21,,,,,,,38.54,,,,,13.93,,10.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plumbojarosite,3.63,1.75,1.07,,,,,,,39.62,,,,,,,,11.34,,,,,,,,,,29.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plumbomicrolite,6.6,5.0,0.13,,,,,,,14.08,,,,,,,,,,,,3.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.51,,,,,,,,,31.27,,,,,,,,,,5.99,,,,,,,,,,,,,,,,,,,,,,,,,,
Plumbonacrite,7.07,3.5,0.24,,,,,2.83,,15.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plumbopalladinite,12.4,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plumbophyllite,,,0.29,,,,,,,24.97,,,,,,15.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plumbopyrochlore,5.04,5.0,0.1,,,,,,,22.15,,,,,,1.16,,,,,,0.83,,,,,,2.31,,,,,,,,,,,,,3.67,,26.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.74,,,,,,,,,34.25,,,,,,,,,,4.92,,,,,,,,,,,,,,,,,,,,,,,,,,
Plumbotellurite,7.2,2.0,,,,,,,,12.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plumbotsumite,5.6,2.0,0.7,,,,,,,19.91,,,,,,7.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plumosite,,2.5,,,,,,,,,,,,,,,,19.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Podlesnoite,3.62,3.75,,,,,,6.3,,25.32,10.02,,0.06,,,,,,,,,20.93,,,,,,0.29,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,36.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poitevinite,3.3,3.25,1.15,,,,,,,45.58,,,,,,,,18.27,,,,,,,,,,9.55,,,21.73,3.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pokrovskite,2.51,3.0,1.99,,,,,7.92,,58.03,,,,32.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polarite,12.51,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.45,49.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poldervaartite,2.91,5.0,1.02,,,,,,,40.47,,,,,,14.21,,,,,,30.41,,,,,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polhemusite,4.93,4.5,,,,,,,,,,,,,,,,24.43,,,,,,,,,,,,,,37.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polkanovite,10.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.81,,,,,,,,,,,,70.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polkovicite,6.62,3.5,,,,,,,,,,,,,,,,27.26,,,,,,,,,,29.68,,,,,,10.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollucite,2.9,6.5,,,0.05,,,,,35.94,,,1.5,,9.06,22.2,,,,,0.05,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,32.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polyakovite-Ce,4.75,5.75,,,,,,,,28.04,,,,1.55,,8.95,,,,,,0.64,,5.72,,4.97,,4.0,,,,,,,,,,,,,,,2.96,,,,,,,,,,,,,,,,13.28,21.21,2.24,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polybasite,4.8,2.75,,,,,,,,,,,,,,,,16.38,,,,,,,,,,,,,8.85,,,,2.61,,,,,,,,,,,,,,65.1,,,,7.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polycrase-Y,5.0,5.5,,,,,,,,25.74,,,,,,,,,,,,1.07,,15.41,,,,,,,,,,,,,,,,,11.92,,14.95,,,,,,,,,,,,,,,,,3.76,,,,,,,,,,,,,,,14.56,,,,,,,,,,,,,,,,,6.22,,6.38,,,,,,,,,,,,,,,,,,,,,,,,,,
Polydymite,4.65,5.0,,,,,,,,,,,,,,,,42.15,,,,,,,,,,,,57.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polyhalite,2.77,3.0,0.67,,,,,,,47.76,,,,4.03,,,,21.27,,,12.97,13.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polylithionite,2.7,2.5,0.26,,3.0,,,,,44.77,4.83,,1.75,,6.86,28.58,,,,,9.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polyphite-VII,3.07,5.0,,,,,,,,35.83,6.38,,21.88,1.36,,6.29,10.4,,,,,6.73,,8.04,,,3.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polyphite-VIII,3.07,5.0,,,,,,,,35.83,6.38,,21.88,1.36,,6.29,10.4,,,,,6.73,,8.04,,,3.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ponomarevite,2.78,2.5,,,,,,,,2.05,,,,,,,,,45.39,,20.02,,,,,,,,,,32.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poppiite,3.36,,0.66,,,,,,,42.09,,,0.29,0.89,2.14,15.42,,,,,0.06,14.46,,0.09,19.5,,1.52,2.68,,,0.12,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portlandite,2.23,2.75,2.72,,,,,,,43.19,,,,,,,,,,,,54.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Posnjakite,3.4,2.75,1.71,,,,,,,37.42,,,,,,,,6.82,,,,,,,,,,,,,54.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potarite,14.88,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potassic-chlorohastingsite,3.38,6.0,0.06,,,,,,,36.35,,,0.92,2.44,5.42,16.94,,,4.99,,2.36,8.06,,,,,,22.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potassic-chloropargasite,3.29,5.5,0.1,,,,,,,39.38,,,0.99,5.49,7.83,18.11,,,4.19,,2.52,8.18,,,,,,13.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potassic-ferropargasite,,,0.21,,,,,,,39.26,,,,,8.28,17.23,,,,,4.0,8.2,,,,,,22.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potassic-fluororichterite,,,,,,,,,,42.19,4.55,,3.44,14.57,,26.93,,,,,3.51,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potassic-magnesiohastingsite,,6.5,0.21,,,,,,,41.51,,,1.17,5.49,7.12,18.31,,,,,2.24,8.23,,0.98,0.06,,0.36,14.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potassic-magnesiosadanagaite,3.27,6.0,0.22,,,,,,,42.64,,,0.64,6.75,8.24,18.71,,,,,3.26,8.9,,1.33,,,,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potassicarfvedsonite,,5.75,0.19,,0.21,,,,,39.56,0.36,,5.18,0.03,0.31,22.63,,,,,2.72,0.21,,0.25,,,1.08,27.14,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potassiccarpholite,3.08,5.0,0.82,,0.63,,,,,42.31,7.61,,0.39,,15.82,17.45,,,,,3.33,,,,,,10.54,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potassicferrisadanagaite,3.44,5.75,0.18,,,,,,,39.84,0.6,,1.43,1.43,9.86,15.46,,,,,2.55,7.24,,1.06,,,1.5,18.72,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potassicleakeite,,5.0,0.23,,0.55,,,,,43.8,,,6.56,4.44,,25.63,,,,,2.68,,,,3.49,,6.27,6.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potassicpargasite,3.25,6.25,0.2,,,,,,,41.99,0.42,,1.27,8.04,,24.78,,,,,2.16,8.84,,,,,,12.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potassicrichterite,,,0.12,,,,,,,44.21,2.28,,3.45,14.6,,26.99,,,,,3.52,4.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potassicsadanagaite,,,0.21,,,,,,,39.71,,,0.59,,9.07,17.43,,,,,3.03,8.29,,,,,,21.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potosiite,6.2,2.5,,,,,,,,,,,,,,,,20.14,,,,,,,,,,2.51,,,,,,,,,,,,,,,,,,,,,,,,10.65,10.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pottsite,7.0,3.5,0.74,,,,,,,23.42,,,,,,,,,,,,,,,14.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.33,30.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poubaite,,2.75,,,,,,,,,,,,,,,,1.62,,,,,,,,,,,,,,,,,,15.94,,,,,,,,,,,,,,,,,,19.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.92,42.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poudretteite,2.51,5.0,,,,,1.18,,,52.58,,,5.04,,,36.92,,,,,4.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poughite,3.75,2.5,0.99,,,,,,,33.93,,,,,,,,5.23,,,,,,,,,,18.22,,,,,,,,,,,,,,,,,,,,,,,,,,41.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Povondraite,3.26,7.0,0.35,,,,2.8,,,42.89,,,1.49,3.78,1.4,14.57,,,,,0.85,,,,,,,31.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Powellite,4.34,3.5,,,,,,,,32.0,,,,,,,,,,,,20.04,,,,,,,,,,,,,,,,,,,,,,47.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poyarkovite,9.56,2.25,,,,,,,,2.45,,,,,,,,,5.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prassoite,7.6,5.5,,,,,,,,,,,,,,,,21.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prehnite,2.87,6.0,0.25,,,,,,,44.51,,,,,13.65,21.31,,,,,,20.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preisingerite,7.24,3.5,0.11,,,,,,,17.06,,,,,,,,,,,,,,,,,,,,,,,,,15.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preiswerkite,2.96,2.5,0.5,,,,,,,47.67,,,5.71,12.07,20.1,13.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preobrazhenskite,2.45,4.75,1.55,,,,20.33,,,65.65,,,,12.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pretulite,3.71,5.0,,,,,,,,45.74,,,,,,,22.14,,,,,,32.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prewittite,,,,,,,,,,8.91,,,,,,,,,24.67,,2.72,,,,,,,,,,26.53,4.55,,,,10.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Priceite,2.42,3.25,2.02,,,,15.48,,,59.55,,,,,,,,,,,,22.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Priderite,3.86,7.0,,,,,,,,35.78,,,0.32,,1.13,,,,,,4.92,,,43.5,,,,8.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pringleite,2.21,3.5,2.56,,,,14.27,,,57.66,,,,,,,,,7.2,,,18.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prismatine,3.34,6.75,0.4,,,,0.86,,,44.45,2.51,,,9.97,21.78,14.12,,,,,,,,,,,,5.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Probertite,2.14,3.5,2.87,,,,15.39,,,63.78,,,6.55,,,,,,,,,11.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proshchenkoite-Y,4.72,5.0,,,,,1.28,,,20.39,9.42,,0.98,,,6.54,0.8,,,,,3.77,,0.04,,,1.86,1.71,,,,,,,0.11,,,,,,12.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prosopite,2.88,4.5,0.83,,,,,,,13.22,47.09,,,,22.29,,,,,,,16.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
